Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"02001","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","384","75.58%"
"02002","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","174","62.85%"
"02008","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1323","72.44%"
"02009","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","799","74.04%"
"02011","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","538","88.10%"
"02012","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","406","74.97%"
"02015","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","229","77.24%"
"02016","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","210","89.63%"
"02017","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","811","89.89%"
"02020","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","649","77.75%"
"02023","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","539","80.43%"
"02024","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","486","89.83%"
"02025","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","698","72.42%"
"02030","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","479","78.77%"
"02031","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","289","79.06%"
"02033","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","619","76.80%"
"02034","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","2","100.00%"
"02036","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","301","89.94%"
"02037","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","226","89.49%"
"02038","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","295","87.51%"
"02040","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","346","89.53%"
"02042","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1020","84.65%"
"02047","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","951","89.05%"
"02048","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","803","87.22%"
"02049","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","318","90.21%"
"02051","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","802","90.81%"
"02054","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","1118","77.33%"
"02055","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","674","81.40%"
"02060","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","226","88.55%"
"02061","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","0","100.00%"
"02069","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","432","92.37%"
"02071","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","535","90.12%"
"02072","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","789","89.87%"
"02073","PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN/KAMALA D. HARRIS (DEM)","324","83.15%"
