Precinct,Registered Voters,Ballots Cast,Donald J. Trump & Michael R. Pence,Hillary R. Clinton & Timothy M. Kaine,Gary Johnson & Bill Weld,Jill Stein & Ajamu Baraka,Total Votes
Barrington 1,907,715,333,302,39,16,690
Barrington 2,896,706,255,385,34,11,685
Barrington 3,"1,126",857,442,332,47,12,833
Barrington 4,"1,423","1,092",589,427,44,3,"1,063"
Barrington 5,"1,063",801,473,250,43,6,772
Barrington 6,"1,152",922,343,486,52,9,890
Barrington 7,334,269,154,93,16,3,266
Barrington 8,"1,553","1,159",600,479,48,6,"1,133"
Barrington 9,688,555,249,240,35,9,533
Barrington 10,"1,426","1,057",407,560,40,23,"1,030"
Barrington 11,818,615,314,251,30,0,595
Berwyn Ward 1 Precinct 1,623,452,110,319,5,13,447
Berwyn Ward 1 Precinct 2,813,553,110,410,13,11,544
Berwyn Ward 1 Precinct 3,"1,210",810,195,562,19,14,790
Berwyn Ward 1 Precinct 4,631,471,94,345,13,11,463
Berwyn Ward 1 Precinct 5,627,462,100,326,22,6,454
Berwyn Ward 2 Precinct 1,553,353,79,241,10,10,340
Berwyn Ward 2 Precinct 2,873,584,130,435,4,8,577
Berwyn Ward 2 Precinct 3,"1,037",763,167,536,24,19,746
Berwyn Ward 2 Precinct 4,"1,403","1,013",195,762,22,19,998
Berwyn Ward 3 Precinct 1,885,618,135,436,15,13,599
Berwyn Ward 3 Precinct 2,589,434,112,287,14,7,420
Berwyn Ward 3 Precinct 3,635,480,125,323,16,9,473
Berwyn Ward 3 Precinct 4,904,637,136,460,14,12,622
Berwyn Ward 3 Precinct 5,"1,012",769,148,549,27,22,746
Berwyn Ward 4 Precinct 1,629,404,74,315,7,6,402
Berwyn Ward 4 Precinct 2,936,663,150,478,11,10,649
Berwyn Ward 4 Precinct 3,"1,216",823,131,636,29,15,811
Berwyn Ward 4 Precinct 4,629,428,94,312,9,9,424
Berwyn Ward 5 Precinct 1,"1,462",956,116,800,7,16,939
Berwyn Ward 5 Precinct 2,844,574,80,458,15,11,564
Berwyn Ward 5 Precinct 3,815,502,61,418,8,6,493
Berwyn Ward 6 Precinct 1,535,341,67,254,10,7,338
Berwyn Ward 6 Precinct 2,682,430,71,338,7,11,427
Berwyn Ward 6 Precinct 3,876,586,60,488,14,14,576
Berwyn Ward 6 Precinct 4,"1,067",705,86,568,19,17,690
Berwyn Ward 7 Precinct 1,810,568,78,441,16,12,547
Berwyn Ward 7 Precinct 2,788,552,76,456,3,7,542
Berwyn Ward 7 Precinct 3,"1,003",705,135,525,16,23,699
Berwyn Ward 7 Precinct 4,"1,036",726,89,582,22,23,716
Berwyn Ward 8 Precinct 1,"1,509",961,159,755,29,11,954
Berwyn Ward 8 Precinct 2,905,622,101,489,14,8,612
Berwyn Ward 8 Precinct 3,542,370,38,308,9,9,364
Bloom 1,938,725,190,479,32,10,711
Bloom 2,949,720,196,464,32,12,704
Bloom 3,881,555,99,425,12,8,544
Bloom 4,"1,117",641,63,555,5,7,630
Bloom 5,655,454,184,250,9,5,448
Bloom 6,580,359,10,337,1,6,354
Bloom 7,"1,007",706,240,430,16,11,697
Bloom 8,"1,041",649,244,368,23,7,642
Bloom 9,"1,069",662,280,338,14,10,642
Bloom 10,590,323,4,309,2,1,316
Bloom 11,695,448,180,235,18,9,442
Bloom 12,"1,005",701,118,555,7,8,688
Bloom 13,"1,380","1,005",123,830,22,9,984
Bloom 14,"1,254",892,278,562,25,12,877
Bloom 15,961,587,167,379,11,7,564
Bloom 16,923,643,138,481,8,5,632
Bloom 17,823,517,37,467,6,4,514
Bloom 18,770,569,175,358,16,14,563
Bloom 19,805,622,96,481,22,10,609
Bloom 20,814,622,177,393,25,9,604
Bloom 21,396,208,4,196,3,2,205
Bloom 22,892,563,127,405,14,9,555
Bloom 23,"1,092",695,57,612,7,7,683
Bloom 24,"1,733","1,160",193,909,25,11,"1,138"
Bloom 25,941,547,77,450,7,7,541
Bloom 26,893,521,114,385,8,3,510
Bloom 27,"1,139",671,74,566,14,10,664
Bloom 28,852,595,198,369,16,3,586
Bloom 29,648,326,2,323,0,0,325
Bloom 30,"1,030",777,133,596,26,10,765
Bloom 31,887,633,242,361,21,4,628
