precinct,,trump,biden,jojo,blankenship,hawkins,write-in
4,Final Election Night Results (unofficial),"3,100",853,28,9,6,6
6,Final Election Night Results (unofficial),"1,792",231,13,3,7,1
8,Final Election Night Results (unofficial),523,153,6,4,5,2
10,Final Election Night Results (unofficial),"1,391",306,11,8,3,3
12,Final Election Night Results (unofficial),490,89,8,1,1,0
14,Final Election Night Results (unofficial),"1,241",132,12,5,2,0
16,Final Election Night Results (unofficial),"1,801",289,24,7,5,4
18,Final Election Night Results (unofficial),"1,256",168,8,5,2,2
20,Final Election Night Results (unofficial),"1,656",205,24,7,1,1
22,Final Election Night Results (unofficial),515,114,9,2,1,1
24,Final Election Night Results (unofficial),753,190,5,2,2,0
26,Final Election Night Results (unofficial),613,206,8,2,2,3
28,Final Election Night Results (unofficial),"1,315",423,19,3,2,4
30,Final Election Night Results (unofficial),196,788,11,5,7,2
32,Final Election Night Results (unofficial),322,370,4,3,2,1
34,Final Election Night Results (unofficial),571,469,14,2,2,1
36,Final Election Night Results (unofficial),307,369,7,2,1,0
38,Final Election Night Results (unofficial),167,455,8,3,4,1
40,Final Election Night Results (unofficial),624,500,11,2,5,1
42,Final Election Night Results (unofficial),"1,547",153,6,5,3,2
44,Final Election Night Results (unofficial),"2,102",592,18,4,7,4
46,Final Election Night Results (unofficial),"1,519",319,10,2,4,1
48,Final Election Night Results (unofficial),"1,506",226,10,4,2,4
50,Final Election Night Results (unofficial),"2,218",280,15,7,5,2
52,Final Election Night Results (unofficial),"2,637",425,29,6,6,6
54,Final Election Night Results (unofficial),"1,232",77,4,0,5,2
56,Final Election Night Results (unofficial),873,93,4,3,2,0
58,Final Election Night Results (unofficial),"1,851",342,20,3,5,3
60,Final Election Night Results (unofficial),"1,776",830,28,1,10,4
62,Final Election Night Results (unofficial),264,512,7,0,5,4
64,Final Election Night Results (unofficial),218,533,3,0,4,2
66,Final Election Night Results (unofficial),570,365,5,2,2,3
68,Final Election Night Results (unofficial),704,471,8,1,2,1
70,Final Election Night Results (unofficial),"1,370",260,11,2,0,2
72,Final Election Night Results (unofficial),"1,701",310,15,3,2,2
74,Final Election Night Results (unofficial),"2,149",303,15,4,3,2
76,Final Election Night Results (unofficial),"1,844",269,18,4,4,4
78,Final Election Night Results (unofficial),"1,954",320,14,7,3,0
80A,Final Election Night Results (unofficial),"3,079",492,32,10,4,3
82,Final Election Night Results (unofficial),"1,682",304,20,3,6,6
84,Final Election Night Results (unofficial),"2,851",825,30,3,5,8
86A,Final Election Night Results (unofficial),"1,372",759,28,3,7,2
88,Final Election Night Results (unofficial),"1,203",360,12,4,5,3
ABSENTEE,,"5,288","5,753",79,23,18,27
