Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
SHL 32-0001,State of Washington US President & Vice President,32,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,2
SHL 32-0001,State of Washington US President & Vice President,32,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,44
SHL 32-0001,State of Washington US President & Vice President,32,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SHL 32-0001,State of Washington US President & Vice President,32,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,277
SHL 32-0001,State of Washington US President & Vice President,32,0,7,Total,,Write-in,4
SHL 32-0001,State of Washington US President & Vice President,32,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
SHL 32-0001,State of Washington US President & Vice President,32,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
BEL 41-0017,State of Washington US President & Vice President,41,0,9,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
BEL 41-0017,State of Washington US President & Vice President,41,0,9,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,103
BEL 41-0017,State of Washington US President & Vice President,41,0,9,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
BEL 41-0017,State of Washington US President & Vice President,41,0,9,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,330
BEL 41-0017,State of Washington US President & Vice President,41,0,9,Total,,Write-in,4
BEL 41-0017,State of Washington US President & Vice President,41,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",2
BEL 41-0017,State of Washington US President & Vice President,41,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,2
BEL 48-0153,State of Washington US President & Vice President,48,0,9,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
BEL 48-0153,State of Washington US President & Vice President,48,0,9,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,64
BEL 48-0153,State of Washington US President & Vice President,48,0,9,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,1
BEL 48-0153,State of Washington US President & Vice President,48,0,9,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,175
BEL 48-0153,State of Washington US President & Vice President,48,0,9,Total,,Write-in,1
BEL 48-0153,State of Washington US President & Vice President,48,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",4
BEL 48-0153,State of Washington US President & Vice President,48,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1515,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1515,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,31
SEA 34-1515,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,2
SEA 34-1515,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,313
SEA 34-1515,State of Washington US President & Vice President,34,0,7,Total,,Write-in,1
SEA 34-1515,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",1
SEA 34-1515,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1516,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1516,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,28
SEA 34-1516,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1516,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,317
SEA 34-1516,State of Washington US President & Vice President,34,0,7,Total,,Write-in,2
SEA 34-1516,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",3
SEA 34-1516,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1517,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1517,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,25
SEA 34-1517,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
